"","term","df","sumsq","meansq","statistic","p.value","p_BH","significant"
"4034","X89670_1148.324_12.008_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",6,13.6201750690789,2.27002917817982,2.37462488540634,0.0313806006509263,0.0707269264051121,"Non-significant"
"4035","X2767_245.063_1.251_NA",6,13.6181921616955,2.26969869361592,2.3742507058543,0.0314053479337344,0.0707626428682579,"Non-significant"
"4036","X57306_269.174_7.388_NA;(�)-alpha-Bisabolol - 40.0 eV",6,13.6172056015255,2.26953426692091,2.37406454284061,0.0314176672704264,0.0707626428682579,"Non-significant"
"4037","X84103_291.231_10.777_NA",6,13.6170351291097,2.26950585485161,2.37403237507466,0.0314197964429341,0.0707626428682579,"Non-significant"
"4038","X20366_325.139_3.673_NA;RIBOFLAVIN",6,13.6132839662468,2.26888066104114,2.37332455576426,0.0314666818669437,0.0708506863631134,"Non-significant"
"4039","X64762_649.027_8.387_NA",6,13.6112554209589,2.26854257015981,2.3729417962302,0.0314920635874497,0.0708902803013352,"Non-significant"
"4040","X32581_179.106_4.851_NA",6,13.6106096661137,2.26843494435228,2.37281995284397,0.0315001474495844,0.0708909258939657,"Non-significant"
"4041","X87418_1072.306_11.18_NA;Contaminant vial septum ThermoFisher C5000-44B",6,13.60939409169,2.26823234861501,2.37259059639663,0.0315153698217205,0.0709076323729481,"Non-significant"
"4042","X64636_643.345_8.363_NA",6,13.6055056600577,2.26758427667629,2.37185694379103,0.0315641098018794,0.0709997244727084,"Non-significant"
"4043","X56763_606.399_7.311_NA",6,13.5931923040894,2.26553205068156,2.36953394015354,0.0317189162519121,0.0713302959590366,"Non-significant"
