"","Comparison","Z","P.unadj","P.adj","significant"
"X92039_981.278_12.937_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol","La_Jolla Reefs - Mission_Bay",-4.81871280989024,1.4448735679272e-06,1.51711724632356e-05,"Significant"
"X66849_526.301_8.691_NA","La_Jolla Reefs - Mission_Bay",-4.81757448733988,1.45313850425213e-06,1.52579542946473e-05,"Significant"
"X89518_981.277_12.062_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol","La_Jolla Reefs - Mission_Bay",-4.94649549474757,7.55614756465484e-07,1.58679098857752e-05,"Significant"
"X11821_178.122_3.041_NA","La_Jolla Reefs - Mission_Bay",-4.80400385498118,1.55523832439824e-06,1.63300024061815e-05,"Significant"
"X18937_386.202_3.727_NA","La_Jolla Reefs - Mission_Bay",-4.93292993757892,8.10052176567562e-07,1.70110957079188e-05,"Significant"
"X14605_312.201_3.316_NA","La_Jolla Reefs - Mission_Bay",-4.91597168743118,8.83431656456857e-07,1.8552064785594e-05,"Significant"
"X13725_194.103_3.24_NA","La_Jolla Reefs - Mission_Bay",4.6886534799322,2.75008616330869e-06,1.92506031431608e-05,"Significant"
"X58579_617.295_7.551_NA","La_Jolla Reefs - Mission_Bay",4.90352182561168,9.41334780557654e-07,1.97680303917107e-05,"Significant"
"X90257_1146.325_12.154_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",4.88768942119319,1.02026314079876e-06,2.1425525956774e-05,"Significant"
"X6750_198.022_2.44_NA","La_Jolla Reefs - Mission_Bay",4.73615069318766,2.17815655035532e-06,2.28706437787309e-05,"Significant"
"X67387_223.133_8.773_NA","La_Jolla Reefs - Mission_Bay",-4.72031828876917,2.3547588475916e-06,2.47249678997118e-05,"Significant"
"X71618_418.316_9.368_NA","La_Jolla Reefs - Mission_Bay",-4.84923929617686,1.23935837651422e-06,2.60265259067985e-05,"Significant"
"X26276_382.233_4.549_NA","La_Jolla Reefs - Mission_Bay",-4.83906630052733,1.30450527094991e-06,2.73946106899481e-05,"Significant"
"X15465_298.148_3.41_NA","La_Jolla Reefs - Mission_Bay",-4.83228097736697,1.3497757115667e-06,2.83452899429008e-05,"Significant"
"X81474_575.356_10.477_NA","La_Jolla Reefs - Mission_Bay",-4.82436228526431,1.4045192130652e-06,2.94949034743692e-05,"Significant"
"X23648_400.284_4.143_NA","La_Jolla Reefs - Mission_Bay",4.67508284757349,2.93834975172043e-06,3.08526723930645e-05,"Significant"
"X73725_493.279_9.664_NA","La_Jolla Reefs - Mission_Bay",-4.67282107551371,2.9709056572766e-06,3.11945094014043e-05,"Significant"
"X71663_458.311_9.39_NA","La_Jolla Reefs - Mission_Bay",-4.7813910536643,1.74086340945174e-06,3.65581315984866e-05,"Significant"
"X89106_980.277_12.019_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one","La_Jolla Reefs - Mission_Bay",-4.63098543921627,3.63929468677932e-06,3.82125942111828e-05,"Significant"
"X65395_520.343_8.472_NA","La_Jolla Reefs - Mission_Bay",-4.72484183288874,2.30294528524309e-06,4.83618509901049e-05,"Significant"
"X90184_980.277_12.362_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one","La_Jolla Reefs - Mission_Bay",-4.72258734900296,2.32863023022739e-06,4.89012348347752e-05,"Significant"
"X48007_382.222_6.341_NA","La_Jolla Reefs - Mission_Bay",-4.7157947446496,2.40769065688391e-06,5.05615037945622e-05,"Significant"
"X24543_474.253_4.227_NA","La_Jolla Reefs - Mission_Bay",-4.71127362410012,2.46173446043027e-06,5.16964236690356e-05,"Significant"
"X78563_401.268_10.188_NA","La_Jolla Reefs - Mission_Bay",-4.71127120053004,2.46176374079159e-06,5.16970385566234e-05,"Significant"
"X31188_226.216_4.823_NA.Gly.C14.1","La_Jolla Reefs - Mission_Bay",-4.55747070046472,5.17733099354061e-06,5.43619754321764e-05,"Significant"
"X68255_630.444_8.918_NA","La_Jolla Reefs - Mission_Bay",-4.6999647579837,2.60206391598524e-06,5.464334223569e-05,"Significant"
"X3205_164.107_1.538_NA","La_Jolla Reefs - Mission_Bay",-4.68639170787241,2.78063841062469e-06,5.83934066231185e-05,"Significant"
"X51498_486.327_6.658_NA","La_Jolla Reefs - Mission_Bay",-4.67848753919701,2.88998729700134e-06,6.06897332370282e-05,"Significant"
"X72430_702.462_9.472_NA","La_Jolla Reefs - Mission_Bay",-4.6728258830986,2.97083609138199e-06,6.23875579190218e-05,"Significant"
"X69728_303.158_9.058_NA","La_Jolla Reefs - Mission_Bay",-4.66829753139414,3.03705868312312e-06,6.37782323455856e-05,"Significant"
"X71459_395.243_9.368_NA","La_Jolla Reefs - Mission_Bay",-4.51449703132883,6.34672111911129e-06,6.66405717506685e-05,"Significant"
"X78606_399.358_10.16_NA.Massbank..Myristamidopropyl.betaine.carboxymethyl.dimethyl..3..tetradecanoylamino.propyl.azanium","La_Jolla Reefs - Mission_Bay",-4.51449703132883,6.34672111911129e-06,6.66405717506685e-05,"Significant"
"X90353_981.278_12.383_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol","La_Jolla Reefs - Mission_Bay",-4.51336846706279,6.38060271813244e-06,6.69963285403906e-05,"Significant"
"X50039_444.187_6.515_NA","La_Jolla Reefs - Mission_Bay",-4.65698867109522,3.20868094209331e-06,6.73822997839595e-05,"Significant"
"X76388_520.363_9.961_NA","La_Jolla Reefs - Mission_Bay",-4.64341803873652,3.4269197494689e-06,7.19653147388468e-05,"Significant"
"X61569_321.169_7.903_NA","La_Jolla Reefs - Mission_Bay",-4.62758563431803,3.6995327722563e-06,7.76901882173824e-05,"Significant"
"X75108_510.306_9.784_NA","La_Jolla Reefs - Mission_Bay",-4.47152336219293,7.76643735638005e-06,8.15475922419906e-05,"Significant"
"X78552_189.127_10.145_NA.Spectral.Match.to.Jasmine.lactone.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.38105247980158,1.18107417483403e-05,8.26751922383821e-05,"Significant"
"X26700_430.228_4.408_NA","La_Jolla Reefs - Mission_Bay",-4.6027061416604,4.17036450595802e-06,8.75776546251183e-05,"Significant"
"X51762_332.187_6.709_NA","La_Jolla Reefs - Mission_Bay",-4.43759678129617,9.09688238168375e-06,9.55172650076794e-05,"Significant"
"X32338_548.327_4.882_NA","La_Jolla Reefs - Mission_Bay",-4.57782664900278,4.6983178230028e-06,9.86646742830587e-05,"Significant"
"X21870_246.18_3.969_NA","La_Jolla Reefs - Mission_Bay",-4.22725197973626,2.36562701794161e-05,9.93563347535477e-05,"Significant"
"X50527_381.247_6.576_NA","La_Jolla Reefs - Mission_Bay",-4.57217692288665,4.82683108569969e-06,0.000101363452799694,"Significant"
"X69546_630.442_9.117_NA","La_Jolla Reefs - Mission_Bay",-4.56425601664408,5.01268777918223e-06,0.000105266443362827,"Significant"
"X80185_413.268_10.231_NA","La_Jolla Reefs - Mission_Bay",-4.41045551657877,1.03153395628338e-05,0.000108311065409755,"Significant"
