"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X57488_352.321_7.415_NA",-1.13288173370748,-0.37762724456916,0.755254489138319,-6.99566203659773,8.91146906063992e-10,76.0736776991211,-1.45540934694791,-0.810354120467047,"Welch Two Sample t-test","two.sided",4.50128203885212e-09,"Significant"
"X22627_298.164_4.11_NA;NCGC00384597-01!3a,8-dihydroxy-3,5a,9-trimethyl-4,5,6,7,8,9b-hexahydro-3H-benzo[g][1]benzofuran-2-one",-1.21111974676308,-0.40370658225436,0.80741316450872,-7.13566331051346,8.93856627581814e-10,66.5427665404507,-1.54994045610089,-0.872299037425266,"Welch Two Sample t-test","two.sided",4.51246221986333e-09,"Significant"
"X12528_306.169_3.366_NA",-1.13273156272476,-0.377577187574921,0.755154375149842,-6.99205382786455,9.07594880846764e-10,76.0258714949096,-1.45538611711366,-0.810077008335865,"Welch Two Sample t-test","two.sided",4.57927450425016e-09,"Significant"
"X1672_275.123_0.855_NA",0.705367130840763,0.235122376946921,-0.470244753893842,6.63396165852022,9.14107667087491e-10,123.631118598626,0.49491065623199,0.915823605449535,"Welch Two Sample t-test","two.sided",4.60957676603409e-09,"Significant"
"X364_252.123_0.633_NA",-1.0697298511425,-0.3565766170475,0.713153234094999,-6.87717530855789,9.14678223618548e-10,86.2616402819893,-1.37893536856198,-0.760524333723014,"Welch Two Sample t-test","two.sided",4.60989712258306e-09,"Significant"
"X70863_303.231_9.324_NA;(4E,8E)-7-hydroxy-10-(hydroxymethyl)-4,8,11,15-tetramethylbicyclo[11.2.0]pentadeca-4,8,14-trien-6-one",-1.29296588397181,-0.430988627990604,0.861977255981208,-7.27478417799773,9.17766792196424e-10,59.1062079166855,-1.64859450828057,-0.937337259663058,"Welch Two Sample t-test","two.sided",4.62290065077556e-09,"Significant"
"X10472_281.149_2.871_NA",-0.948708564823837,-0.316236188274612,0.632472376549225,-6.66183194066271,9.37791114489777e-10,116.592585834986,-1.23075353651931,-0.666663593128362,"Welch Two Sample t-test","two.sided",4.7211499517946e-09,"Significant"
"X55948_440.255_7.212_NA",0.713045124870315,0.237681708290105,-0.47536341658021,6.57535432816937,9.43698320242597e-10,136.858375127338,0.498606386425435,0.927483863315195,"Welch Two Sample t-test","two.sided",4.74825961684875e-09,"Significant"
"X90179_775.253_12.24_NA;(3S,4R,6aR,6bS,8aS,11R,12R,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid",0.702514918419331,0.23417163947311,-0.46834327894622,6.64019990578208,9.5875952566447e-10,120.146924098039,0.493046326636408,0.911983510202253,"Welch Two Sample t-test","two.sided",4.82137257043217e-09,"Significant"
"X6075_337.139_2.344_NA",-1.01412748413831,-0.338042494712771,0.676084989425543,-6.76744543788676,9.74305754658636e-10,97.748257899362,-1.31151706599438,-0.716737902282245,"Welch Two Sample t-test","two.sided",4.89684241092113e-09,"Significant"
"X59134_295.203_7.61_NA",0.701759662026747,0.233919887342249,-0.467839774684498,6.64059568593071,9.74962432163094e-10,119.343623636972,0.492514408700238,0.911004915353256,"Welch Two Sample t-test","two.sided",4.89743559846787e-09,"Significant"
"X77867_435.329_10.072_NA",0.703907161098952,0.234635720366317,-0.469271440732635,6.61945056575327,9.84749319776923e-10,123.541889586248,0.493424381486743,0.914389940711162,"Welch Two Sample t-test","two.sided",4.94386571806283e-09,"Significant"
"X51876_594.855_6.718_NA",0.701299069023469,0.233766356341156,-0.467532712682313,6.63925770436639,9.89295133140978e-10,119.004224466,0.492142901957097,0.910455236089841,"Welch Two Sample t-test","two.sided",4.9634721614991e-09,"Significant"
"X55064_586.322_7.118_NA",0.705753876656997,0.235251292218999,-0.470502584437998,6.60426037238227,9.89746483589735e-10,126.864461583828,0.494288272593915,0.917219480720079,"Welch Two Sample t-test","two.sided",4.9634721614991e-09,"Significant"
"X15430_314.159_3.406_NA",-1.19519000100505,-0.398396667001682,0.796793334003365,-7.08702541679352,9.93123322308728e-10,67.9318572326644,-1.53172157710924,-0.858658424900853,"Welch Two Sample t-test","two.sided",4.97766110608101e-09,"Significant"
"X19023_242.175_3.737_NA",0.747376478500014,0.249125492833338,-0.498250985666676,6.46921240594207,9.96896482512328e-10,171.072875042951,0.519332129957824,0.975420827042205,"Welch Two Sample t-test","two.sided",4.99381973498738e-09,"Significant"
"X37183_249.148_5.34_NA",-1.28850860436696,-0.429502868122321,0.859005736244642,-7.24647648163138,1.01399071135712e-09,59.2318615512409,-1.64427993855146,-0.932737270182464,"Welch Two Sample t-test","two.sided",5.07665393593555e-09,"Significant"
"X41468_406.214_5.437_NA",0.721541164866646,0.240513721622215,-0.481027443244431,6.51290994150637,1.04223632065597e-09,150.367008108045,0.502642277955474,0.940440051777818,"Welch Two Sample t-test","two.sided",5.21519682300717e-09,"Significant"
"X71984_461.05_9.43_NA",0.784611521312745,0.261537173770915,-0.52307434754183,6.44596728929224,1.05093936769746e-09,177.372707630244,0.544403218669117,1.02481982395637,"Welch Two Sample t-test","two.sided",5.25585298740668e-09,"Significant"
"X2370_343.15_1.083_NA",0.705119220922927,0.235039740307643,-0.470079480615285,6.5886097756365,1.05185627014525e-09,127.724671219819,0.493355647736681,0.916882794109174,"Welch Two Sample t-test","two.sided",5.2575465685325e-09,"Significant"
"X65458_724.441_8.482_NA",-1.28038993399412,-0.426796644664708,0.853593289329416,-7.22039287976024,1.07523204135696e-09,59.7415551560414,-1.63513366397887,-0.925646204009374,"Welch Two Sample t-test","two.sided",5.37143391209749e-09,"Significant"
"X91313_153.138_12.628_NA",-1.28953386046921,-0.429844620156405,0.859689240312809,-7.23573200705928,1.07727790808903e-09,59.016781411598,-1.64614407493443,-0.932923646003996,"Welch Two Sample t-test","two.sided",5.37869892385804e-09,"Significant"
"X52578_332.188_6.803_NA",-0.919163499692621,-0.306387833230874,0.612775666461748,-6.58832177225105,1.09787690373672e-09,125.726132187265,-1.1952635482661,-0.643063451119144,"Welch Two Sample t-test","two.sided",5.47853831436568e-09,"Significant"
