filename	ATTRIBUTE_Sample-Type	ATTRIBUTE_Batch	ATTRIBUTE_Month	ATTRIBUTE_Year	ATTRIBUTE_Sample_Location	ATTRIBUTE_Replicate	ATTRIBUTE_Spot	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Sample_Area	ATTRIBUTE_Spot_Name
SD_01-2018_26_b.mzXML	Sample	2	Jan	2018	26	b	26	32.75743	-117.25317	Mission_Bay	Mission_Bay_Canal
SD_01-2018_27_a.mzXML	Sample	2	Jan	2018	27	a	27	32.75905	-117.24467	Mission_Bay	Mission_Bay_Canal
SD_01-2018_27_b.mzXML	Sample	2	Jan	2018	27	b	27	32.75905	-117.24467	Mission_Bay	Mission_Bay_Canal
SD_01-2018_28_a.mzXML	Sample	2	Jan	2018	28	a	28	32.76576	-117.24785	Mission_Bay	Mariners_Basin
SD_01-2018_28_b.mzXML	Sample	2	Jan	2018	28	b	28	32.76576	-117.24785	Mission_Bay	Mariners_Basin
SD_01-2018_29_a.mzXML	Sample	2	Jan	2018	29	a	29	32.7623	-117.24051	Mission_Bay	Quivira_Marina
SD_01-2018_29_b.mzXML	Sample	2	Jan	2018	29	b	29	32.7623	-117.24051	Mission_Bay	Quivira_Marina
SD_01-2018_2_a.mzXML	Sample	2	Jan	2018	2	a	2	32.92639	-117.26446	Torrey_Pines	Torrey_Pines
SD_01-2018_2_b.mzXML	Sample	2	Jan	2018	2	b	2	32.92639	-117.26446	Torrey_Pines	Torrey_Pines
SD_01-2018_30_a.mzXML	Sample	2	Jan	2018	30	a	30	32.76115	-117.2363	Mission_Bay	Quivira_Marina
SD_01-2018_30_b.mzXML	Sample	2	Jan	2018	30	b	30	32.76115	-117.2363	Mission_Bay	Quivira_Marina
SD_01-2018_3_a.mzXML	Sample	2	Jan	2018	3	a	3	32.91927	-117.26452	Torrey_Pines	Torrey_Pines
SD_01-2018_3_b.mzXML	Sample	2	Jan	2018	3	b	3	32.91927	-117.26452	Torrey_Pines	Torrey_Pines
SD_01-2018_4_a.mzXML	Sample	2	Jan	2018	4	a	4	32.91016	-117.2622	Torrey_Pines	Torrey_Pines
SD_01-2018_4_b.mzXML	Sample	2	Jan	2018	4	b	4	32.91016	-117.2622	Torrey_Pines	Torrey_Pines
SD_01-2018_5_a.mzXML	Sample	2	Jan	2018	5	a	5	32.90106	-117.25929	Torrey_Pines	Torrey_Pines
SD_01-2018_5_b.mzXML	Sample	2	Jan	2018	5	b	5	32.90106	-117.25929	Torrey_Pines	Torrey_Pines
SD_01-2018_6_a.mzXML	Sample	2	Jan	2018	6	a	6	32.89303	-117.25866	Torrey_Pines	Torrey_Pines
SD_01-2018_6_b.mzXML	Sample	2	Jan	2018	6	b	6	32.89303	-117.25866	Torrey_Pines	Torrey_Pines
SD_01-2018_7_a.mzXML	Sample	2	Jan	2018	7	a	7	32.88456	-117.25879	Torrey_Pines	Blacks_North_Peak
SD_01-2018_7_b.mzXML	Sample	2	Jan	2018	7	b	7	32.88456	-117.25879	Torrey_Pines	Blacks_North_Peak
SD_01-2018_8_a.mzXML	Sample	2	Jan	2018	8	a	8	32.87627	-117.2557	Torrey_Pines	Blacks_South_Peaks
SD_01-2018_8_b.mzXML	Sample	2	Jan	2018	8	b	8	32.87627	-117.2557	Torrey_Pines	Blacks_South_Peaks
SD_01-2018_9_a.mzXML	Sample	2	Jan	2018	9	a	9	32.86989	-117.25836	SIO_La_Jolla_Shores	SIO_North_Pier
SD_01-2018_9_b.mzXML	Sample	2	Jan	2018	9	b	9	32.86989	-117.25836	SIO_La_Jolla_Shores	SIO_North_Pier
