ID1,ID2,EdgeType,Score,Annotation
5202,5213,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
5207,5212,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9844
5210,5213,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
5210,5213,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0267
5269,5271,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5277,5292,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
5277,5295,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
5292,5295,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
5302,5303,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5315,5317,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
5315,5316,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9831
5316,5317,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5327,5329,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9831
5380,5382,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
5381,5400,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
5381,5396,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5396,5400,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9823
5420,5426,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5441,5447,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9822
5443,5455,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
5452,5454,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9829
5466,5474,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
5466,5473,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
5470,5478,MS1 annotation,2.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9842
5473,5474,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
5491,5495,MS1 annotation,3.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0267
5493,5495,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9822
5505,5510,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9939
5522,5541,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9913
5528,5529,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0271
5529,5541,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9816
5531,5532,MS1 annotation,3.000,[2M+2H]2+ [M+Na]+ dm/z=21.9828
5531,5533,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
5532,5533,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
5532,5533,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
5593,5596,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
5598,5601,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9824
5619,5624,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
5624,5631,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
5634,5638,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5639,5648,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
5653,5660,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
5682,5693,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
5691,5693,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5704,5711,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
5719,5729,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9938
5722,5723,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
5722,5724,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0268
5723,5724,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
5747,5752,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
5747,5748,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5748,5752,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
5770,5780,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
5770,5775,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
5775,5780,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
5787,5794,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
5798,5801,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
5798,5800,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
5800,5801,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5809,5813,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
5809,5813,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0264
5810,5820,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
5810,5822,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
5810,5820,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0263
5810,5822,MS1 annotation,3.000,[M+Na]+ [2M+2H]2+ dm/z=21.9820
5811,5818,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9832
5812,5813,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
5820,5822,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5821,5832,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9825
5829,5832,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
5884,5886,MS1 annotation,2.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0265
5923,5934,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
