"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"4346_253.18_11.249",331829.62,330280,335976.47,108475.555,191498.92,203416.19,222862.3,159648.58,281133.84,187657.55,272129.56,213114.05
"4420_253.18_11.35",512603.12,502216.12,496743.38,735850.75,519719.84,517582.12,459415.28,678349.44,417659.22,485024.34,380082.4,435413.34
"5967_253.216_13.009",56914.22,46766.707,47935.887,77026.13,154884.44,122245.97,9629.582,15452.435,14248.453,6160.1377,4248.6367,0
"5887_253.216_12.932",143678.66,151770.11,128997.125,481731.78,330743.3,515773.94,19255.992,36428.24,30728.676,13319.476,19453.031,14448.344
"6202_253.216_13.312",29714.871,24008.1,25067.809,91346.9,87238.51,62919.973,8343.926,11951.629,10216.136,8116.9907,6113.4995,9872.424
"545_254.103_5.06",18175.654,23118.766,23133.738,60744.1,50394.74,40970.023,19363.232,19783.049,21224.578,20931.176,12551.706,15902.37
"694_254.175_5.42",83761.72,86126.266,88310,60050.99,64558.53,47331.203,59231.062,71535.086,68589.375,63124.227,71630.234,80828.04
"290_254.175_1.526",40773.14,114609.35,110631.33,24652.387,24210.824,31627.523,41901.27,46514.7,129079.56,42184.477,115498.47,38672.246
"2521_254.212_7.626",100834.39,103005.39,95754.29,110750.77,103911.5,116699.24,74470.766,71945.29,77160,54962.72,51626.773,63757.117
"1919_254.212_6.849",112055.336,93402.875,118930.97,110570.55,121283.36,130049.555,63732.96,83397.66,79783.516,59546.445,85653.34,77794.31
"4510_254.212_11.482",115343.81,105689.55,107474.52,16315.521,19042.76,18196.064,84441.36,86005.93,91328.125,83887.555,79933.92,89536.81
"5616_254.248_12.698",107741.09,115322.16,88874.6,61365.46,58098.83,53665.4,24377.78,29341.748,29462.574,0,0,0
"388_255.134_4.273",85237.586,102095.6,92804.875,211207.62,224326.52,218640.47,34331.387,30798.145,34541.816,37197.723,34165.094,33108.73
"4600_255.159_11.586",132507.9,123347.53,118921.63,131604.39,132653.98,107101.68,89918.16,93756.195,85532.65,91840.48,75610.766,83325.51
"1665_256.118_6.548",84147.266,80058.12,98679.08,38792.42,48447.695,34135.633,56520.473,57144.93,60311.67,68579.06,56776.71,65118.402
"347_256.118_3.244",19950.42,14439.584,25840.664,171156.78,166600.31,185011.45,6799.165,6519.6665,2463.5525,0,0,0
"2387_256.133_7.406",15209.449,19305.021,16154.707,119942.57,119344.16,117645.16,1654.3176,6187.086,5123.916,2108.6677,1473.5935,3304.605
"1300_256.191_6.194",54729.14,42969.383,44026.973,34579.125,35534.703,36961.168,64454.97,37467.89,39019.363,34558.492,39167.793,37698.92
"1626_256.191_6.513",62317.215,64120.457,56462.234,79852.48,79042.54,76130.36,46125.56,42528.562,51112.676,46236.14,39863.34,41608.684
"5872_256.263_12.918",102610.195,129876.914,92816.83,50877.44,41704.633,56005.926,23738.955,32990.203,27929.502,0,0,0
"726_257.129_5.486",74201.07,72277.81,56091.4,12244.19,5519.002,9398.804,51115.367,54358.312,49014.594,64254.793,52754.016,64632.4
"619_257.15_5.258",36736.484,38013.125,39586.258,194570.78,206133.08,200692.72,31056.207,27395.012,32647.336,27959.248,29226.936,31109.922
"693_257.186_5.422",39740.36,47326.676,47636.344,72857.414,62633.17,61059.195,30064.96,34444.523,36527.93,32198.152,34658.504,37683.89
"791_258.134_5.582",31185.166,34801.46,33873.055,67492.77,71270.77,68478.94,16963.58,13244.221,15318.321,4421.301,7569.8154,8016.0107
"539_258.134_5.042",35044.49,24929.412,28378.834,135601.42,135239,101071.586,11542.276,9059.072,8335.837,2418.7683,0,3817.5444
"3859_258.206_10.547",275518.2,276668.53,257520.45,37908.91,39559.75,35837.99,201828.33,203837.2,172041.88,185034.75,210952.3,194227.48
"4239_258.279_11.096",98557.234,94713.74,99142.3,88936.42,97512.62,92378.15,85402,77702.42,79235.164,80005.59,69725.96,57463.645
"294_259.129_1.588",41128.26,79480.71,67571,181061.7,195964.39,301127.75,14186.785,26762.863,42442.902,2487.3384,12382.883,20241.672
"80_259.129_0.805",3826984.2,3317522.8,3450624.8,3602438.2,5005369,5304763,2210052.2,2488190.2,2747829,2012316.4,2064632.1,3040381.5
"184_259.129_1.025",1091146.1,2512778.2,2534484,2644392.5,3487086,854371.1,2597210.2,2339571.8,2488805,2385788,790642.94,751833.5
"5362_259.19_12.506",55382.94,65462.44,67815.23,101433.984,86634.05,105774.86,51002.93,40617.457,47306.72,29246.11,40893.83,41424.785
"1770_259.202_6.676",88677.02,89094.69,88814.16,145261.44,138285.86,143374.3,60931.715,59154.94,61903.03,56919.35,57283.617,54788.562
"1881_259.202_6.794",135017.5,121840.03,116418.92,224813.34,222685.36,200924.97,88740.41,77971.38,79413.16,83039.74,81199.97,85355.86
"603_259.202_5.204",220506.78,233750.17,234001.55,292666.06,284369.75,283365.6,169279.78,179135.97,181707.62,172989.83,180070.39,160106.64
"5999_259.206_13.045",32666.697,32951.664,45392.562,169924.94,276431.72,136415,17926.71,20887.588,17905.6,0,17770.145,9411.427
"5918_259.206_12.976",42211.59,34219.28,37992.6,106928.91,95062.516,105827.875,17684.229,21563.229,20443.996,18834.064,14295.175,17680.434
"1980_259.213_6.941",74394.25,76426.77,75085.34,57507.49,61755.414,58033.586,74415.46,70134.37,69107.58,69261.984,74926.12,71663.266
"541_260.07_5.035",60031.008,60110.15,70427.31,59619.004,67633.31,68691.04,43999.805,45462.785,39962.074,38629.75,46668.258,46174.867
"251_260.113_1.237",2621041.8,2069134.6,2181783.5,257716.83,266702.8,238169.23,1917396.1,1916367.6,1638809.1,1799621.2,1672738.1,1679832.8
"160_260.113_0.911",425586.44,498663.22,505620,20228.863,23802.434,34440.1,192336.11,295404.72,300019,151944.4,280651.75,345151.62
"383_260.165_4.215",92373.914,89746.445,99652.375,33721.633,34321.8,40052.24,153936.17,87100.41,85708.13,83251.66,83086.29,81227.71
"581_260.165_5.161",108308.63,109760.37,100354.11,101684.664,97357.35,102745.68,120574.91,172534.83,107865.15,89843.555,111357.35,167552.45
"440_260.165_4.665",124952.51,111387.68,116734.46,100139.266,90186.086,98307.95,108008.9,115849.31,100885.02,119047.97,97718.34,118855.836
"2090_260.186_7.042",58304.51,57498.8,61633.605,268012.38,269466.8,272394.5,15094.15,13529.746,13072.345,1576.3225,4221.2495,2643.7183
"1346_260.186_6.242",151330.6,150787.97,140793.4,81048.97,81235.28,89783.055,93371.04,94897.01,96077.42,87183.87,84520.26,79709.195
"3311_261.11_9.279",276425.78,307468.78,326882.16,428548,555144.8,392558.38,300779.3,341217,325404.38,332550.12,303948.9,336199.62
"3238_261.111_9.11",152004.75,126964.28,130062.86,109905.36,127214.33,109430.586,64724.688,128590.36,126875.734,66997.55,117764.85,80775.86
"614_261.124_5.239",326667.12,330611.25,334516.28,154586.2,160186.53,166909.22,286535.34,325695.94,167832.6,136782.7,218873.9,126685.14
"342_261.131_3.102",350802.16,355446.44,361920.03,388462.9,401128.47,450964.2,269094.88,294433.78,308650.3,261612.47,281170.34,286264.7
"367_261.145_3.836",70870.41,53569.953,77898.71,0,0,50494.766,77816.86,101132.01,109296.02,20638.256,26797.24,25393.863
"351_261.145_3.324",150606.78,162370.16,162589.55,153143.97,82050.49,84960.05,69683.36,74141.02,76186.3,11352.4375,13423.982,14327.783
"330_261.145_2.654",149060.11,0,66073.71,99851.93,0,0,7489.712,19634.418,17898.918,0,0,0
"328_261.145_2.601",65559.36,160278.55,149567.27,193108.12,192391.84,196586.86,19466.477,17241.652,14111.059,0,0,0
"370_261.145_3.922",190556.05,185902.97,194353.33,368797.4,389071.25,386215.1,17417.871,0,0,0,0,0
"4273_261.149_11.155",76139,84928.08,95826.79,108079.69,120831.44,87900.375,60440.562,72173.8,59154.543,59303.94,49062.105,66960.69
"1097_261.16_6.006",32499.89,28953.074,88736.984,96036.63,82988.12,77375.14,27173.68,28275.049,26383.672,17571.064,16918.852,27786.076
"6127_261.221_13.152",32991.582,13988.084,10263.635,210696.28,322857.5,332133.4,12460.398,5773.2686,4680.7354,7132.2866,0,0
"6166_261.221_13.206",28117.207,23510.645,20787.96,159206.4,87467.55,81989.02,9114.055,0,9847.24,7612.4517,2870.775,0
"868_262.108_5.695",95350.555,58169.27,48892.76,69522.875,63199.1,57233.703,47011.473,42150.6,64586.797,40980.94,38056.8,77807.04
"2128_262.18_7.093",161913.73,117125.71,120308.5,297726.94,446622.8,208331.12,28986.852,20060.938,28902.658,12235.242,20347.396,15249.379
"4227_262.253_11.068",128160.56,139308.69,124335.2,376715.03,418091.56,373753.72,20748,24027.875,28072.635,0,0,0
"291_263.124_1.519",13641.566,13831.403,11224.076,78078.8,82443.44,73314.57,7625.1284,10790.538,9356.483,12045.262,12325.14,12506.073
"262_263.124_1.38",9268.601,8603.92,7936.3506,44965.633,47085.86,43308.96,0,2402.8843,2288.79,6234.2446,5373.4697,5013.2354
"1487_263.139_6.385",122557.11,73639.01,107525.77,135466.48,155010.38,63836.688,86270.98,67454.55,74084.61,92376.805,83485.67,82505.03
"1036_263.139_5.922",46011.938,199815.97,214728.42,54675.543,36735.684,64467.83,182895.3,44172.703,50430.418,54786.848,52761.883,205074.6
"678_263.139_5.371",156691.06,156515.45,176255.2,397235.25,327647.88,415545.22,209184.92,154213.06,132087.34,172386.33,140830.05,86481.12
"558_263.139_5.111",638875,664243.94,632878.06,664612.94,802785,679965.3,512338.16,540419.1,589080.75,525755.6,479496.47,533311.3
"420_263.139_4.52",296459.12,289223.62,296401.72,325582.88,272572.16,324428.56,229992.23,203387.48,204798.42,226962.25,252016.06,239742.1
"3949_263.164_10.659",308453.47,193009.95,96539.164,340738.84,101432.35,204480.03,136019.08,94098.78,71145.53,57543.48,70149.11,73428.59
"4106_263.164_10.915",50468.453,54690.14,152099.19,92251.54,89658.28,61703.324,53589.445,45038.14,64534.812,51822.254,100015.516,57593.58
"5415_263.2_12.531",144441.25,163963.62,139073.83,174873,229665.48,211649.48,114626.195,126226.31,111974.06,67142.57,95090.73,101551.83
"5983_263.201_13.03",94727.95,54603.285,120719.164,74833.97,71899.93,63180.703,36046.594,33844.11,49306.094,54763.418,30121.053,32669.604
"5610_263.201_12.703",40397.383,127772.25,64296.363,155080.03,421596.22,192786,42150.36,35923.938,33944.87,21435.555,22868.691,0
"5647_263.201_12.723",195508.02,71134.37,128043.37,353604.62,115408.48,400430.34,43821.977,37065.58,38927.492,29292.908,23452.578,0
"5074_263.201_12.187",21155.512,41888.375,70132.59,134139.89,128532.875,535316.2,43784.918,52784.78,43116.71,27482.754,40738.523,46015.145
"5219_263.201_12.344",319009.5,169415.14,176345.12,852456.56,225285.1,324916.84,373310.62,432007.7,148124.47,140884.06,418185.4,437926.7
"2744_263.212_7.987",1772.2251,2301.0315,1835.1458,80634.11,97119.484,88002.86,0,0,0,0,0,0
"6147_263.237_13.191",120851.31,49789.727,77756.36,217089.58,287871.03,219897.1,0,13815.35,0,0,0,0
"2144_264.123_7.102",97807.016,124870.195,97676.516,72575.71,94249,75462.5,75574.73,70067.67,69301.38,98213.555,60435.043,76696.586
"1900_264.16_6.816",104093.28,107497.49,93396.164,122031.16,129300.32,157771.97,75135.586,65202.39,79892.836,73505.28,69153.45,55240.906
"269_264.16_1.408",142925.2,112320.39,132982.69,47763.56,41879.17,48178.477,179250.28,179803.33,139799.16,182544.47,147092.27,160141.77
"4935_264.196_12.045",23071.193,25961.61,27573.361,151352.22,164821.52,137370.19,6315.8633,4923.139,6021.991,0,0,0
"2819_264.196_8.118",18320.58,9128.898,34281.684,228521.86,142395.88,151450.42,4456.6943,8825.798,5237.2456,0,0,0
"5243_264.196_12.377",16440.137,14218.42,15266.973,85346.93,85370.55,78871.31,0,2193.6018,0,0,0,0
"1742_264.196_6.632",193126.94,149461.48,148799.02,188579.52,200724.62,142603.67,145806.9,157320.2,144595.58,117747.41,119579.664,159559.08
