"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"5529_583.314_12.615",0.000140923857262335,0.000138610980967585,0.000157279857787729,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,2.92034397036425e-06,2.2116281740233e-05,3.05688340993772e-05,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"934_584.292_5.791",8.09035125124454e-05,8.79008701040531e-05,7.37591048142619e-05,6.33240405210013e-05,6.61806186130747e-05,6.46414206400983e-05,5.13757721379519e-05,6.34010299480606e-05,8.0082454582787e-05,8.41440800829814e-05,8.2632322577621e-05,8.49150178051164e-05
"752_584.292_5.512",7.30579631300998e-05,6.91775871305126e-05,6.84731822305499e-05,3.82309504795871e-05,4.08104467097075e-05,4.40420516640707e-05,8.54167305119727e-05,7.42392782345899e-05,8.79847213194716e-05,7.76945894358684e-05,9.16780137555103e-05,8.92444530072748e-05
"6165_585.358_13.232",3.13230805509646e-05,3.5126904014821e-05,3.33446790571717e-05,0.000230073633103832,0.000230412625997267,0.000236769001114387,2.92034397036425e-06,2.86939495756684e-06,2.83698442557989e-06,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"6394_586.432_13.828",7.61245343626517e-05,7.058039056756e-05,9.32432965059873e-05,8.89426974599931e-05,0.000112806314195141,0.000127339444659921,5.47553522985287e-06,1.11971989515565e-05,5.36034996315048e-06,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"6374_586.432_13.741",1.98510693703888e-05,2.83773610778559e-05,2.2884127335427e-05,9.94333732949051e-05,4.35541543815043e-05,5.04052819641153e-05,2.92034397036425e-06,2.86939495756684e-06,2.83698442557989e-06,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"316_588.24_2.105",0.000670013765729554,2.16006596162116e-06,0.000619327774809016,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,0.000670947667283576,0.000629439627343817,0.000599398741177109,0.000452618157025806,0.000448717101545352,0.000156965417541247
"312_588.24_2.058",2.09631154926745e-06,0.000659975114258952,0.000209023825071901,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,0.000238537968836148,0.000174165819484189,0.000160967473474747,0.000133336948576931,0.000167158136411519,0.000418984435298592
"289_588.24_1.5",0.000201681261512943,0.000190095420070195,0.0002051266063337,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,0.000177881216789331,0.00017055473009205,0.000182315075949616,7.85612411541891e-05,8.72089753941917e-05,8.54584640283664e-05
"1654_588.41_6.539",0.000322559424994834,0.000376402319715294,0.00038950241762296,0.000196834207933285,0.000228980938968789,0.000226122206639512,0.000580271309693708,0.000533686966429163,0.000513777946646577,0.000562612217951145,0.000678628173807455,0.000619338112783195
"3460_590.405_9.632",4.54515420285953e-05,5.49731331659518e-05,6.55501528265386e-05,8.55593583363327e-05,8.06118058748847e-05,8.25762301065316e-05,0.00013640725004358,0.000133365197314786,0.000134600833550132,0.000160990920714885,0.00016770392498417,0.000160780042645543
"5322_590.426_12.451",0.000159913097712961,0.000151489500519627,0.000159171569523413,0.000146362229818544,0.000151371229706295,0.000144831586640437,0.000172465050515896,0.000178697932569243,0.000189890227410269,0.000197644551421243,0.000157404033723169,0.000192229765086846
"6391_591.498_13.826",0.000119215202713544,2.16006596162116e-06,2.1651689905069e-06,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,2.92034397036425e-06,2.86939495756684e-06,2.83698442557989e-06,0.000174694935767728,3.25559358191876e-06,3.09573130258259e-06
"6428_591.498_13.965",0.000101497051753534,2.16006596162116e-06,2.1651689905069e-06,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,2.92034397036425e-06,2.86939495756684e-06,2.83698442557989e-06,0.000165517194150682,3.25559358191876e-06,3.09573130258259e-06
"1869_592.354_6.779",6.46226073106298e-05,7.69595751073358e-05,6.86671024211858e-05,7.38254775577809e-05,7.31413298592072e-05,7.18148352692115e-05,5.52758880529811e-05,5.08718157334871e-05,6.89896305217807e-05,5.7212285306225e-05,6.2560850690192e-05,5.72738975970275e-05
"6504_595.291_14.856",1.96486222602505e-05,1.41923511166828e-05,2.1651689905069e-06,4.49621437874634e-05,6.82163916262596e-05,7.56329009881903e-05,2.92034397036425e-06,2.86939495756684e-06,2.83698442557989e-06,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"5865_597.27_12.908",5.23265090909144e-05,6.15875262142226e-05,6.30197469987515e-05,7.16708694914612e-05,7.32154285577314e-05,6.4528678452795e-05,4.10917059361492e-05,4.53722953105885e-05,4.62401636528624e-05,4.14784574228119e-05,3.95853148113428e-05,3.74996268075207e-05
"1814_598.454_6.722",5.68597356616045e-05,5.60670880872853e-05,5.819924346771e-05,0.000119757526528212,0.000124614382222863,0.000111689329543588,5.41132315839842e-05,5.06474095712492e-05,5.64011670803453e-05,6.29937312116268e-05,7.06767499940497e-05,6.84196688899452e-05
"5158_599.159_12.307",0.000130728585851728,0.000137889515526671,0.00014359743378335,0.000317140714364247,0.000309120334477461,0.000278011054888601,4.2030563101163e-05,4.25514853017389e-05,4.03445114504239e-05,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"5528_600.341_12.618",0.000102348867352463,0.00013660700406604,0.000123821376628147,1.60764565100947e-06,1.58728339611635e-06,1.58113358326886e-06,2.92034397036425e-06,2.92169313436013e-05,2.59732574393681e-05,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
