Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X88712_504.389_11.805_nan,-7.101052015357185,119.00661714597837,two-sided,9.752825390006337e-11,[-0.95 -0.54],0.792817325057822,2.581e+08,0.9987651778509388,5.655145946807246e-10,True
X8701_362.144_2.697_nan,7.632173623567513,68.54720439142301,two-sided,9.752690149633486e-11,[0.93 1.58],1.5471626555717162,4.732e+09,0.9999999999999961,5.655145946807246e-10,True
X15273_196.097_3.391_nan,7.705981131895817,64.8977987455402,two-sided,9.80729636911363e-11,[0.96 1.62],1.6163444226366124,7.154e+09,0.9999999999999999,5.68310634722633e-10,True
X14539_317.113_3.318_nan,6.954321512618828,151.13301828510913,two-sided,9.98719072193983e-11,[0.65 1.17],1.0011675477187238,1.181e+08,0.9999927951586417,5.783664843559041e-10,True
X67887_403.247_8.719_nan,7.639951527687202,67.77281949889797,two-sided,1.0058548578380564e-10,[0.93 1.59],1.559411165004535,4.942e+09,0.9999999999999979,5.821280946825976e-10,True
X51479_454.207_6.677_nan,-6.927751474144925,158.8383029262018,two-sided,1.0070881373574362e-10,[-1.14 -0.64],0.9762218404635242,1.026e+08,0.9999854643266501,5.82471077916909e-10,True
X64829_261.148_8.269_nan,-6.8808631182622255,175.22123000987472,two-sided,1.0148827181812625e-10,[-1.03 -0.57],0.8614403357428171,8.015e+07,0.9997285722910345,5.866060822443762e-10,True
X80876_295.19_10.4_nan,-7.048157123136895,127.27774454305667,two-sided,1.0211154145582892e-10,[-0.96 -0.54],0.7972517340657582,1.945e+08,0.9988744278947393,5.898336308236319e-10,True
X41454_351.216_5.572_nan,7.833012446941966,59.19799938443701,two-sided,1.0271227064254146e-10,[1.01 1.7 ],1.7520110872398071,1.464e+10,1.0,5.929269617028488e-10,True
X88564_534.487_11.725_nan,7.837761928054132,59.014294869141345,two-sided,1.0280230398833308e-10,[1.01 1.7 ],1.7571978177746401,1.504e+10,1.0,5.930701445824394e-10,True
X22850_276.144_4.194_nan,7.4632357658165756,77.836970694462,two-sided,1.033802044728211e-10,[0.86 1.49],1.410282365091071,1.852e+09,0.9999999999975885,5.960258839992958e-10,True
X61794_577.384_7.966_nan,-6.97846607541521,142.3687325293853,two-sided,1.0410961933381909e-10,[-0.97 -0.54],0.808858310609757,1.342e+08,0.9991197968334747,5.998508612060095e-10,True
X9194_318.154_2.75_nan,7.573238996021997,70.81015441021516,two-sided,1.0471775163283944e-10,[0.91 1.56],1.5062445518624659,3.407e+09,0.9999999999999714,6.029726395476734e-10,True
X82170_546.363_10.562_nan,-7.085514954909478,119.03259235195424,two-sided,1.0545804613562153e-10,[-0.95 -0.54],0.7911151130033381,2.375e+08,0.9987207241460487,6.068509844715639e-10,True
X90517_268.263_12.367_nan,7.807883260053539,59.847051110898235,two-sided,1.059231014357377e-10,[1.   1.69],1.7322253784066048,1.27e+10,1.0,6.091415801731355e-10,True
X54709_391.174_7.056_nan,-6.875666103941721,174.0656875328218,two-sided,1.0613202450108335e-10,[-1.09 -0.6 ],0.9191671452738884,7.799e+07,0.9999337485097656,6.099572482704487e-10,True
X75612_374.261_9.842_nan,-7.083921870945902,119.00621144914678,two-sided,1.0639547789057175e-10,[-0.95 -0.54],0.7909042739574337,2.355e+08,0.9987151173296791,6.110850821105991e-10,True
X2755_252.159_1.139_nan,7.399195943029517,81.7838440018559,two-sided,1.081673165698505e-10,[0.84 1.46],1.36419915774036,1.302e+09,0.9999999999821431,6.208694711193691e-10,True
X54560_354.191_6.943_nan,-6.880746074160762,169.2104304937591,two-sided,1.1063233057810292e-10,[-1.11 -0.61],0.9385091505059668,8.011e+07,0.9999598355641941,6.342176227087716e-10,True
X50915_423.201_6.68_nan,-6.860917907778272,177.02481173064643,two-sided,1.1056393824217287e-10,[-1.04 -0.58],0.8690037372744971,7.218e+07,0.9997727572299436,6.342176227087716e-10,True
X70462_627.483_9.405_nan,-6.866303145920079,173.12686022589048,two-sided,1.1322848020945758e-10,[-1.09 -0.61],0.9220036920329779,7.425e+07,0.9999383827035052,6.482829609977257e-10,True
X50876_686.79_6.619_nan,-7.071239690702329,119.08839817679838,two-sided,1.132019212811321e-10,[-0.95 -0.54],0.789590860324779,2.201e+08,0.9986796809108665,6.482829609977257e-10,True
X91490_706.496_12.691_nan;DG(20:4_18:0),-7.069858357574909,119.00152281364791,two-sided,1.1428233752320293e-10,[-0.95 -0.54],0.7893282661252767,2.184e+08,0.9986724897385331,6.539049797111147e-10,True
"X90734_833.24_12.432_nan;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",-7.047668331775019,122.88774881815519,two-sided,1.1485326350593562e-10,[-0.95 -0.54],0.7916911656894017,1.94e+08,0.9987359291549011,6.567584099345703e-10,True
